OLDNAME   RENAMED   IFGLYCAM  G_TYPE    G_CHARGE  
C1        C1        NO        NONE      NONE      
C2        C2        NO        NONE      NONE      
O2        O3        NO        NONE      NONE      
C3        C4        NO        NONE      NONE      
C4        C5        NO        NONE      NONE      
C5        C6        NO        NONE      NONE      
C6        C7        NO        NONE      NONE      
C7        C8        NO        NONE      NONE      
C8        C9        NO        NONE      NONE      
C9        C10       NO        NONE      NONE      
C10       C11       NO        NONE      NONE      
C11       C12       NO        NONE      NONE      
N5        N13       NO        NONE      NONE      
O1A       O14       NO        NONE      NONE      
O1B       O15       NO        NONE      NONE      
O4        O16       NO        NONE      NONE      
O6        O17       NO        NONE      NONE      
O7        O18       NO        NONE      NONE      
O8        O19       NO        NONE      NONE      
N9        N20       NO        NONE      NONE      
O10       O21       NO        NONE      NONE      
H2        H22       NO        NONE      NONE      
H31       H23       NO        NONE      NONE      
H32       H24       NO        NONE      NONE      
H4        H25       NO        NONE      NONE      
H5        H26       NO        NONE      NONE      
H6        H27       NO        NONE      NONE      
H7        H28       NO        NONE      NONE      
H8        H29       NO        NONE      NONE      
H91       H30       NO        NONE      NONE      
H92       H31       NO        NONE      NONE      
1H11      H32       NO        NONE      NONE      
2H11      H33       NO        NONE      NONE      
3H11      H34       NO        NONE      NONE      
H5        H35       NO        NONE      NONE      
H4        H36       NO        NONE      NONE      
H7        H37       NO        NONE      NONE      
H8        H38       NO        NONE      NONE      
H92       H39       NO        NONE      NONE      
O1        O40       NO        NONE      NONE      
C2        C41       NO        NONE      NONE      
C3        C42       NO        NONE      NONE      
C4        C43       NO        NONE      NONE      
C5        C44       NO        NONE      NONE      
C6        C45       NO        NONE      NONE      
C7        C46       NO        NONE      NONE      
C8        C47       NO        NONE      NONE      
C9        C48       NO        NONE      NONE      
C10       C49       NO        NONE      NONE      
O11       O50       NO        NONE      NONE      
H14       H51       NO        NONE      NONE      
H15       H52       NO        NONE      NONE      
H16       H53       NO        NONE      NONE      
H17       H54       NO        NONE      NONE      
H18       H55       NO        NONE      NONE      
